Name,Author,Teleport Command,Notes,Category,Entry Type
God Kit,Unknown Author,/tp @s -30.5 41 -43.5 0 0,,PvP,Kit
GOD KIT,Unknown Author,/tp @s -30.5 51 -43.5 -180 0,,PvP,Kit
GOD KIT,UsableBuffalo98,/tp @s -29.5 51 -43.5 -180 0,,PvP,Kit
godly dragon kit,CHARGENATION1158,/tp @s -28.5 51 -43.5 -180 0,,PvP,Kit
God's Chest,Unknown Author,/tp @s -27.5 51 -43.5 -180 0,,PvP,Kit
God Shulker,Unknown Author,/tp @s -26.5 51 -43.5 -180 0,,PvP,Kit
God Shulker Box,Emphacks,/tp @s -25.5 51 -43.5 -180 0,,PvP,Kit
golden people must wear gold stuff,CoolestGuy94,/tp @s -24.5 51 -43.5 -180 0,,PvP,Kit
GoldKit,Enchilada12,/tp @s -23.5 51 -43.5 -180 0,,PvP,Kit
Hacked items,Unknown Author,/tp @s -22.5 51 -43.5 -180 0,,PvP,Kit
Hardcore Shulker,Unknown Author,/tp @s -21.5 51 -43.5 -180 0,,PvP,Kit
Hell's Horror,Wecklerie,/tp @s -20.5 51 -43.5 -180 0,,PvP,Kit
HeroBrines ShulkerBox,Emphacks,/tp @s -19.5 51 -43.5 -180 0,,PvP,Kit
Hey! wanna 1v1 prot 1 leather?,Unknown Author,/tp @s -18.5 51 -43.5 -180 0,,PvP,Kit
HoeKit,Unknown Author,/tp @s -17.5 51 -43.5 -180 0,,PvP,Kit
Holy Armor,Mob0,/tp @s -16.5 51 -43.5 -180 0,,PvP,Kit
Holy Kit,ZueserTerminator,/tp @s -15.5 51 -43.5 -180 0,,PvP,Kit
Holy Tree Set,Cyb3x,/tp @s -14.5 51 -43.5 -180 0,,PvP,Kit
HORIZON ON TOP,Unknown Author,/tp @s -13.5 51 -43.5 -180 0,,PvP,Kit
HowMagical's Shulker,Mob0,/tp @s -30.5 49 -43.5 -180 0,,PvP,Kit
Hymoon,GioVarquez,/tp @s -29.5 49 -43.5 -180 0,,PvP,Kit
Hypertywe's Kit,Hypertywe,/tp @s -28.5 49 -43.5 -180 0,,PvP,Kit
Hypixel kit!,Unknown Author,/tp @s -27.5 49 -43.5 -180 0,,PvP,Kit
Ice & Fire Kit,Bockanator,/tp @s -26.5 49 -43.5 -180 0,,PvP,Kit
Illegal Kit,GioVarquez,/tp @s -25.5 49 -43.5 -180 0,,PvP,Kit
Illuminati,Unknown Author,/tp @s -24.5 49 -43.5 -180 0,,PvP,Kit
Imperium Battle Gear [Phase I Prototype],Unknown Author,/tp @s -23.5 49 -43.5 -180 0,,PvP,Kit
Imperium Soldier Kit,Unknown Author,/tp @s -22.5 49 -43.5 -180 0,,PvP,Kit
Impurity Kit,Unknown Author,/tp @s -21.5 49 -43.5 -180 0,,PvP,Kit
Infection Kit,SuperRyn,/tp @s -20.5 49 -43.5 -180 0,,PvP,Kit
infinity.inc Supply Crate,Mob0,/tp @s -19.5 49 -43.5 -180 0,,PvP,Kit
Infinity Box,WrierThrower875,/tp @s -18.5 49 -43.5 -180 0,,PvP,Kit
Infinity Box v2,WrierThrower875,/tp @s -17.5 49 -43.5 -180 0,,PvP,Kit
Infinity Box v3,WrierThrower875,/tp @s -16.5 49 -43.5 -180 0,,PvP,Kit
Infinity Box v3.1,WrierThrower875,/tp @s -15.5 49 -43.5 -180 0,,PvP,Kit
INFINITY SHULKER,JiffyThe_Best24,/tp @s -14.5 49 -43.5 -180 0,,PvP,Kit
Infinity Spirit Kit,Unknown Author,/tp @s -13.5 49 -43.5 -180 0,,PvP,Kit
I/OP | Beginner,OperatorTheDope,/tp @s -30.5 47 -43.5 -180 0,,PvP,Kit
I/OP | Advanced,OperatorTheDope,/tp @s -29.5 47 -43.5 -180 0,,PvP,Kit
I/OP | Expert,OperatorTheDope,/tp @s -28.5 47 -43.5 -180 0,,PvP,Kit
Irix Shulker Box,Emphacks,/tp @s -27.5 47 -43.5 -180 0,,PvP,Kit
ItzSergioCobra Personal Kit mk5,ItzSergioCobra,/tp @s -26.5 47 -43.5 -180 0,,PvP,Kit
ItzSergioCobra's Illegal 32k Battle Box,ItzSergioCobra,/tp @s -25.5 47 -43.5 -180 0,,PvP,Kit
ItzSergioCobra's Legacy Kit,ItzSergioCobra,/tp @s -24.5 47 -43.5 -180 0,,PvP,Kit
Jeroen's Box,JeroenJ,/tp @s -23.5 47 -43.5 -180 0,,PvP,Kit
Kat's Kit,Katsuo,/tp @s -22.5 47 -43.5 -180 0,,PvP,Kit
KFCKIT,Emphacks,/tp @s -21.5 47 -43.5 -180 0,,PvP,Kit
King Cheems Box,Yurni,/tp @s -20.5 47 -43.5 -180 0,,PvP,Kit
King Of The Gods II 2.0,Z_cu,/tp @s -19.5 47 -43.5 -180 0,,PvP,Kit
King Of The Gods Kit v2.6,Z_cu,/tp @s -18.5 47 -43.5 -180 0,,PvP,Kit
Kismet Shulk V2,Team Kismet,/tp @s -17.5 47 -43.5 -180 0,,PvP,Kit
Kit Angeloid,4ngeloid,/tp @s -16.5 47 -43.5 -180 0,,PvP,Kit
Kit From The Orange Sands,twoeighths,/tp @s -15.5 47 -43.5 -180 0,,PvP,Kit
Klockowy's Kit,Klockowy,/tp @s -14.5 47 -43.5 -180 0,,PvP,Kit
KriTikal's OP-PVP KIT VERSION 1.5 | PRIVATE VERSION,KriTikal___Error,/tp @s -13.5 47 -43.5 -90 0,,PvP,Kit
Krytek Disinfection Kit,Krysis,/tp @s -30.5 45 -43.5 -180 0,,PvP,Kit
Labfect Official Kit,quack95,/tp @s -29.5 45 -43.5 -180 0,,PvP,Kit
Laboratory Kit,r00t,/tp @s -28.5 45 -43.5 -180 0,,PvP,Kit
Labs Inc. Kit,quack95,/tp @s -27.5 45 -43.5 -180 0,,PvP,Kit
Last Gambit Kit Final Edition,Katsuo,/tp @s -26.5 45 -43.5 -180 0,,PvP,Kit
[Legend] Kit,Unknown Author,/tp @s -25.5 45 -43.5 -180 0,,PvP,Kit
Legend of Zelda Kit,Enchilada12,/tp @s -24.5 45 -43.5 -90 0,,PvP,Kit
Legit Kit,AUCreator,/tp @s -23.5 45 -43.5 -90 0,,PvP,Kit
Light Companion Kit,Katsuo,/tp @s -22.5 45 -43.5 -90 0,,PvP,Kit
Lolfaceftw's Gear,Lolfaceftw,/tp @s -21.5 45 -43.5 -90 0,,PvP,Kit
Luke Skywalker Kit,Unknown Author,/tp @s -20.5 45 -43.5 -90 0,,PvP,Kit
LyicxCorp Member Kit,Unknown Author,/tp @s -19.5 45 -43.5 -90 0,,PvP,Kit
Lyicx Kit,renzothehottie,/tp @s -18.5 45 -43.5 -90 0,,PvP,Kit
MAGA Kit,Unknown Author,/tp @s -17.5 45 -43.5 -180 0,,PvP,Kit
Mandalorian Kit,Unknown Author,/tp @s -16.5 45 -43.5 -180 0,,PvP,Kit
Meltdown Kit 2.0,Emphacks,/tp @s -15.5 45 -43.5 -180 0,,PvP,Kit
Mercury X,"Yurni, Cynacx",/tp @s -14.5 45 -43.5 -180 0,,PvP,Kit
MetalBox,0800_Hybrid,/tp @s -13.5 45 -43.5 -180 0,,PvP,Kit
Meteor Kit,_ShyGuy_,/tp @s -30.5 43 -43.5 -180 0,,PvP,Kit
Midas,Unknown Author,/tp @s -29.5 43 -43.5 -90 0,,PvP,Kit
Midnight Rising,Katsuo,/tp @s -28.5 43 -43.5 -90 0,,PvP,Kit
Mighty Crate,Unknown Author,/tp @s -27.5 43 -43.5 -180 0,,PvP,Kit
Mk-3 Warper Armor Containment Unit,DashTheDevilDog,/tp @s -26.5 43 -43.5 -180 0,,PvP,Kit
Mob0's Shulker,Mob0,/tp @s -25.5 43 -43.5 -180 0,,PvP,Kit
Mob0's Tomb,Mob0,/tp @s -24.5 43 -43.5 -180 0,,PvP,Kit
Model D4 Box,DashTheDevilDog,/tp @s -23.5 43 -43.5 -180 0,,PvP,Kit
Model D-6 Box,DashTheDevilDog,/tp @s -22.5 43 -43.5 -180 0,,PvP,Kit
MrT1's Minimal PvP Kit,MrT1_,/tp @s -21.5 43 -43.5 -180 0,,PvP,Kit
MrT1's PvP Box (Legacy),MrT1_,/tp @s -20.5 43 -43.5 -180 0,,PvP,Kit
MrT1's PvP Box,MrT1_,/tp @s -19.5 43 -43.5 -180 0,,PvP,Kit
Mudklips God Kit,Mudklip,/tp @s -18.5 43 -43.5 -180 0,,PvP,Kit
N!emands OP God Kit,N!emand,/tp @s -17.5 43 -43.5 -180 0,,PvP,Kit
Nacho4785's GLITCHED Kit,Nacho4785,/tp @s -16.5 43 -43.5 -180 0,,PvP,Kit
NASA Kit,Unknown Author,/tp @s -15.5 43 -43.5 -180 0,,PvP,Kit
Naughty Student's kit,Indogamer2K6,/tp @s -14.5 43 -43.5 -180 0,,PvP,Kit
Nazi Kit,Unknown Author,/tp @s -13.5 43 -43.5 -180 0,,PvP,Kit
NBT Kit II,ghostjusr,/tp @s -30.5 41 -43.5 -180 0,,PvP,Kit
NBTMou,TimurMou,/tp @s -29.5 41 -43.5 -180 0,,PvP,Kit
Nebula Shulker,Unknown Author,/tp @s -28.5 41 -43.5 -180 0,,PvP,Kit
Negrus Kit,Unknown Author,/tp @s -27.5 41 -43.5 -180 0,,PvP,Kit
nein4k's PvP Kit,nein4k,/tp @s -26.5 41 -43.5 -180 0,,PvP,Kit
Nether Box,0800_Hybrid,/tp @s -25.5 41 -43.5 -180 0,,PvP,Kit
Netherite Kit,Simpson_Manor,/tp @s -24.5 41 -43.5 -180 0,,PvP,Kit
NetherKingdom Army Kit,Pokethorix,/tp @s -23.5 41 -43.5 -180 0,,PvP,Kit
NetherKit,iIFrozenFireIi,/tp @s -22.5 41 -43.5 -180 0,,PvP,Kit
Night's Private Kit,NightSoft,/tp @s -21.5 41 -43.5 -180 0,,PvP,Kit
Night's Private Shulker Box,NightSoft,/tp @s -20.5 41 -43.5 -180 0,,PvP,Kit
Nikki's Every-Day Stuff,Unknown Author,/tp @s -19.5 41 -43.5 -180 0,,PvP,Kit
Ninja Kit,Unknown Author,/tp @s -18.5 41 -43.5 -180 0,,PvP,Kit
Ninja's Broken Kit,Unknown Author,/tp @s -17.5 41 -43.5 -90 0,,PvP,Kit
Nitro Kit,Pokethorix,/tp @s -16.5 41 -43.5 -90 0,,PvP,Kit
Noah's Ultimate 8b8t Kit,Unknown Author,/tp @s -15.5 41 -43.5 -90 0,,PvP,Kit
Noob's NBT Item Kit,noobnarb,/tp @s -14.5 41 -43.5 -180 0,,PvP,Kit
Nordic God Weapons,Unknown Author,/tp @s -13.5 41 -43.5 -180 0,,PvP,Kit
OFFICIAL IDIOT CRATE,Xicad,/tp @s -13.5 51 -47.5 0 0,,PvP,Kit
Official [SpliffOS] Kit!,Unknown Author,/tp @s -14.5 51 -47.5 0 0,,PvP,Kit
okMaskeds Kit,okMasked,/tp @s -15.5 51 -47.5 0 0,,PvP,Kit
OmegaKit,Unknown Author,/tp @s -16.5 51 -47.5 0 0,,PvP,Kit
OmegaMart Standard Shotgun Kit,OperatorTheDope,/tp @s -17.5 51 -47.5 0 0,,PvP,Kit
Omega X Nightware,"Night_Soft, Hooke_",/tp @s -18.5 51 -47.5 0 0,,PvP,Kit
OP Duck Kit,ScurvyPanda1087,/tp @s -19.5 51 -47.5 0 0,,PvP,Kit
Operator Armor,GioVarquez,/tp @s -20.5 51 -47.5 0 0,,PvP,Kit
OPERATOR KIT,Unknown Author,/tp @s -21.5 51 -47.5 0 0,,PvP,Kit
OP KIT,Traxoz,/tp @s -22.5 51 -47.5 0 0,,PvP,Kit
OP/Standard,OperatorTheDope,/tp @s -23.5 51 -47.5 0 0,Archivist Pick,PvP,Kit
Orange Troll Crate,Aarooncia,/tp @s -24.5 51 -47.5 0 0,,PvP,Kit
Orium Armor Box,DashTheDevilDog,/tp @s -25.5 51 -47.5 0 0,,PvP,Kit
OVERLOAD KIT++,Creeperparty190,/tp @s -26.5 51 -47.5 0 0,,PvP,Kit
OverWatch,Unknown Author,/tp @s -27.5 51 -47.5 0 0,,PvP,Kit
Panda's Ham Box,PandaMan1,/tp @s -28.5 51 -47.5 0 0,,PvP,Kit
Paranormal II (2),Emphacks,/tp @s -29.5 51 -47.5 0 0,,PvP,Kit
Paranormal Kit,Emphacks,/tp @s -30.5 51 -47.5 0 0,,PvP,Kit
Parkour Kit,Yurni,/tp @s -13.5 49 -47.5 0 0,,PvP,Kit
